id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,bathrooms,property_type,beds,host_listings_count,instant_bookable,first_review,accommodates,review_scores_rating
5577233,PORTO,Bonfim,41.14371,-8.59901,Entire home/apt,20,1,111,2020-10-29,1.88,3,323,1.0,Entire apartment,2.0,5.0,t,2016-04-07,2,88.0
5598123,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17564,-8.68739,Entire home/apt,68,2,13,2017-07-05,0.19,1,39,1.0,Entire apartment,1.0,1.0,f,2015-05-19,4,98.0
5610352,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15679,-8.62102,Private room,20,2,166,2020-03-13,2.32,2,364,1.0,Private room in apartment,1.0,1.0,f,2015-04-01,2,85.0
5612531,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14811,-8.61507,Entire home/apt,600,2,93,2020-02-09,1.47,2,0,2.0,Entire apartment,5.0,2.0,f,2015-12-09,10,96.0
5633899,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1365,-8.61304,Entire home/apt,75,1,4,2018-07-06,0.06,6,345,1.0,Entire apartment,1.0,7.0,t,2015-04-21,4,95.0
5634195,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13705,-8.61284,Entire home/apt,120,1,10,2020-10-10,0.14,6,345,1.0,Entire apartment,3.0,7.0,t,2015-06-16,6,96.0
5634327,VALE DE CAMBRA,Roge,40.86757,-8.34036,Entire home/apt,66,2,3,2020-02-24,0.04,4,321,1.0,Entire house,5.0,4.0,t,2015-08-15,2,93.0
5650189,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14404,-8.6121,Private room,30,1,41,2020-03-08,0.58,4,365,1.0,Private room in apartment,1.0,6.0,t,2015-04-28,2,97.0
5652195,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14363,-8.61362,Private room,29,1,57,2020-03-12,0.86,4,365,1.0,Private room in apartment,1.0,6.0,t,2015-09-07,2,97.0
5652257,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1429,-8.61374,Entire home/apt,34,1,7,2020-10-27,0.11,4,365,1.0,Entire apartment,2.0,6.0,t,2015-10-13,3,97.0
5682890,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15584,-8.68041,Entire home/apt,50,2,109,2021-01-14,1.54,1,168,1.0,Entire apartment,1.0,7.0,t,2015-04-22,4,98.0
5683325,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.144,-8.62106,Entire home/apt,54,2,23,2020-09-20,0.39,9,350,1.0,Entire apartment,3.0,9.0,t,2016-04-16,3,83.0
5684880,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15221,-8.61374,Entire home/apt,61,2,211,2020-01-09,2.96,12,364,1.0,Entire loft,2.0,14.0,f,2015-04-07,3,97.0
5691828,PORTO,Ramalde,41.18018,-8.64345,Entire home/apt,52,2,169,2020-02-29,2.37,1,0,1.0,Barn,2.0,1.0,f,2015-04-05,4,98.0
5695121,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14332,-8.60964,Entire home/apt,50,2,235,2020-10-12,3.39,2,336,1.0,Entire apartment,3.0,2.0,f,2015-06-07,5,98.0
5695138,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.19118,-8.63071,Entire home/apt,34,7,171,2020-01-04,2.4,1,0,1.0,Entire apartment,3.0,1.0,f,2015-04-06,4,93.0
5716817,PORTO,Ramalde,41.16291,-8.63243,Private room,20,3,72,2019-06-23,1.32,1,0,2.0,Private room in apartment,1.0,1.0,t,2016-08-26,2,97.0
5723128,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1434,-8.61487,Private room,37,2,399,2020-10-14,5.66,1,365,1.0,Private room in house,1.0,1.0,t,2015-05-03,2,98.0
